Timestamp,X,Y,Z,Distance
2024-04-08T14:03:48,-7.52,5.86,0.85,25
2024-04-08T14:03:48,0.91,9.95,-0.64,0
2024-04-08T14:03:48,1.00,10.19,-0.57,25
2024-04-08T14:03:48,0.74,11.22,-2.67,0
2024-04-08T14:03:49,0.72,9.77,0.21,25
2024-04-08T14:03:49,1.30,9.41,-0.46,0
2024-04-08T14:03:49,1.30,10.32,-0.94,25
2024-04-08T14:03:49,0.76,10.10,-0.53,0
2024-04-08T14:03:49,0.87,10.18,-0.08,25
2024-04-08T14:03:49,3.50,17.25,-5.86,0
2024-04-08T14:03:49,4.09,10.76,1.09,45
2024-04-08T14:03:49,1.02,9.68,0.51,0
2024-04-08T14:03:49,1.99,10.42,-1.24,26
2024-04-08T14:03:49,0.92,10.08,-0.82,0
2024-04-08T14:03:49,0.86,9.83,-0.26,27
2024-04-08T14:03:49,0.95,9.47,-0.12,0
2024-04-08T14:03:49,1.25,9.58,-0.47,26
2024-04-08T14:03:49,1.85,10.40,-1.66,0
2024-04-08T14:03:49,2.63,9.58,-1.72,26
2024-04-08T14:03:49,1.28,8.92,-0.02,0
2024-04-08T14:03:49,0.84,9.41,-0.02,26
2024-04-08T14:03:49,0.58,10.47,-0.67,0
2024-04-08T14:03:49,1.06,10.39,-1.02,26
2024-04-08T14:03:49,0.94,9.31,-0.37,0
2024-04-08T14:03:49,1.45,8.88,-0.21,36
2024-04-08T14:03:49,1.53,9.39,-0.45,0
2024-04-08T14:03:49,1.18,10.05,-0.67,31
2024-04-08T14:03:49,1.14,10.31,-0.76,0
2024-04-08T14:03:49,1.06,10.19,-0.41,27
2024-04-08T14:03:49,1.27,10.07,-0.46,0
2024-04-08T14:03:49,1.10,9.97,-0.39,27
2024-04-08T14:03:49,0.83,10.56,-0.63,0
2024-04-08T14:03:49,0.84,10.49,-0.63,26
2024-04-08T14:03:49,0.70,10.16,-0.36,0
2024-04-08T14:03:49,0.76,9.93,-0.36,26
2024-04-08T14:03:49,0.70,10.22,-0.48,0
2024-04-08T14:03:49,0.55,9.99,-0.25,27
2024-04-08T14:03:49,0.51,9.95,-0.12,0
2024-04-08T14:03:49,0.40,9.85,-0.07,27
2024-04-08T14:03:49,0.51,10.05,-0.32,0
2024-04-08T14:03:49,0.63,10.13,-0.40,27
2024-04-08T14:03:49,0.73,9.84,-0.27,0
2024-04-08T14:03:49,0.71,9.73,-0.22,26
2024-04-08T14:03:49,0.70,9.95,-0.35,0
2024-04-08T14:03:50,0.90,9.97,-0.45,26
2024-04-08T14:03:50,0.91,10.29,-0.71,0
2024-04-08T14:03:50,0.86,10.02,-0.48,27
2024-04-08T14:03:50,1.22,9.77,-0.49,0
2024-04-08T14:03:50,0.77,10.24,-0.47,26
2024-04-08T14:03:50,0.81,10.25,-0.70,0
2024-04-08T14:03:50,0.76,10.24,-0.35,26
2024-04-08T14:03:50,0.78,10.05,-0.32,0
2024-04-08T14:03:50,0.61,10.21,-0.43,26
2024-04-08T14:03:50,0.31,10.28,-0.09,0
2024-04-08T14:03:50,0.03,9.75,0.32,26
2024-04-08T14:03:50,0.66,9.95,0.25,0
2024-04-08T14:03:50,0.42,10.42,-0.26,25
2024-04-08T14:03:50,0.88,11.25,-1.35,0
2024-04-08T14:03:50,1.18,10.51,-1.23,26
2024-04-08T14:03:50,0.85,9.95,-0.75,0
2024-04-08T14:03:50,0.91,9.61,-0.44,26
2024-04-08T14:03:50,0.43,9.68,0.22,0
2024-04-08T14:03:50,0.56,9.73,0.29,45
2024-04-08T14:03:50,0.32,9.69,0.28,0
2024-04-08T14:03:50,0.59,9.82,0.12,45
