# Date, Time,  Distance, Pitch
8/4/2022 ,16:11:15 ,006, 9.45
8/4/2022 ,16:11:15 ,006, 35.12
8/4/2022 ,16:11:15 ,006, 10.60
8/4/2022 ,16:11:15 ,006, 19.24
8/4/2022 ,16:11:15 ,010, 10.45
8/4/2022 ,16:11:15 ,011, 2.38
8/4/2022 ,16:11:15 ,011, 7.73
8/4/2022 ,16:11:15 ,009, 9.14
8/4/2022 ,16:11:15 ,011, 7.47
8/4/2022 ,16:11:16 ,006, -4.13
8/4/2022 ,16:11:16 ,011, 11.05
8/4/2022 ,16:11:16 ,010, 4.15
8/4/2022 ,16:11:16 ,010, 9.40
8/4/2022 ,16:11:16 ,011, 6.54
8/4/2022 ,16:11:16 ,010, 8.40
8/4/2022 ,16:11:16 ,011, 7.42
8/4/2022 ,16:11:16 ,010, 7.80
8/4/2022 ,16:11:16 ,010, 7.99
8/4/2022 ,16:11:16 ,010, 7.65
8/4/2022 ,16:11:16 ,010, 7.75
8/4/2022 ,16:11:16 ,010, 7.57
8/4/2022 ,16:11:16 ,010, 7.86
8/4/2022 ,16:11:16 ,010, 7.55
8/4/2022 ,16:11:16 ,009, 7.81
8/4/2022 ,16:11:16 ,009, 7.86
8/4/2022 ,16:11:16 ,009, 7.70
8/4/2022 ,16:11:16 ,008, 7.72
8/4/2022 ,16:11:16 ,008, 7.62
8/4/2022 ,16:11:16 ,008, 7.83
8/4/2022 ,16:11:17 ,008, 7.65
8/4/2022 ,16:11:17 ,008, 7.71
8/4/2022 ,16:11:17 ,008, 7.68
8/4/2022 ,16:11:17 ,008, 7.74
8/4/2022 ,16:11:17 ,008, 7.65
8/4/2022 ,16:11:17 ,008, 7.63
8/4/2022 ,16:11:17 ,008, 7.58
8/4/2022 ,16:11:17 ,008, 7.60
8/4/2022 ,16:11:17 ,008, 7.72
8/4/2022 ,16:11:17 ,008, 7.77
8/4/2022 ,16:11:17 ,008, 7.53
8/4/2022 ,16:11:17 ,008, 7.75
8/4/2022 ,16:11:17 ,008, 7.75
8/4/2022 ,16:11:17 ,008, 7.49
8/4/2022 ,16:11:17 ,008, 7.87
8/4/2022 ,16:11:17 ,008, 7.70
8/4/2022 ,16:11:17 ,008, 7.74
8/4/2022 ,16:11:17 ,008, 7.68
8/4/2022 ,16:11:17 ,008, 7.79
8/4/2022 ,16:11:17 ,008, 7.64
8/4/2022 ,16:11:18 ,007, 7.81
8/4/2022 ,16:11:18 ,007, 7.64
8/4/2022 ,16:11:18 ,008, 7.82
8/4/2022 ,16:11:18 ,008, 7.74
8/4/2022 ,16:11:18 ,008, 7.60
8/4/2022 ,16:11:18 ,008, 7.70
8/4/2022 ,16:11:18 ,010, 7.56
8/4/2022 ,16:11:18 ,097, 7.95
8/4/2022 ,16:11:18 ,097, 7.73
8/4/2022 ,16:11:18 ,097, 7.59
8/4/2022 ,16:11:18 ,097, 7.87
8/4/2022 ,16:11:18 ,097, 7.72
8/4/2022 ,16:11:18 ,097, 7.70
8/4/2022 ,16:11:18 ,096, 7.72
8/4/2022 ,16:11:18 ,097, 7.74
8/4/2022 ,16:11:18 ,097, 7.73
8/4/2022 ,16:11:18 ,097, 7.63
8/4/2022 ,16:11:18 ,097, 7.69
8/4/2022 ,16:11:18 ,097, 7.84
8/4/2022 ,16:11:18 ,097, 7.83
8/4/2022 ,16:11:19 ,097, 7.71
8/4/2022 ,16:11:19 ,097, 7.75
8/4/2022 ,16:11:19 ,096, 7.70
8/4/2022 ,16:11:19 ,097, 7.77
8/4/2022 ,16:11:19 ,096, 7.59
8/4/2022 ,16:11:19 ,096, 7.51
8/4/2022 ,16:11:19 ,097, 7.84
8/4/2022 ,16:11:19 ,096, 7.82
